"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06 de set. de 2022","13,74","13,91","13,92","13,55","30,27M","-4,85%"
"02 de set. de 2022","14,44","14,77","14,87","14,36","26,36M","0,00%"
"01 de set. de 2022","14,44","14,39","14,50","14,06","27,58M","1,05%"
"31 de ago. de 2022","14,29","13,74","14,45","13,74","44,59M","0,42%"
"30 de ago. de 2022","14,23","14,78","14,84","14,09","38,94M","-5,95%"
"29 de ago. de 2022","15,13","14,90","15,45","14,80","29,30M","2,65%"
"26 de ago. de 2022","14,74","14,43","14,76","14,32","23,50M","1,10%"
"25 de ago. de 2022","14,58","14,82","14,83","14,25","43,53M","-0,75%"
"24 de ago. de 2022","14,69","14,47","14,89","14,39","28,21M","0,48%"
"23 de ago. de 2022","14,62","14,22","14,66","14,22","35,54M","4,95%"
"22 de ago. de 2022","13,93","13,45","14,01","13,28","30,12M","1,98%"
"19 de ago. de 2022","13,66","14,02","14,06","13,58","32,69M","-3,87%"
"18 de ago. de 2022","14,21","14,26","14,41","14,06","22,78M","1,14%"
"17 de ago. de 2022","14,05","13,53","14,10","13,51","30,03M","2,33%"
"16 de ago. de 2022","13,73","13,61","13,76","13,53","21,38M","0,37%"
"15 de ago. de 2022","13,68","13,12","13,86","13,06","43,82M","0,44%"
"12 de ago. de 2022","13,62","12,64","13,72","12,61","63,31M","-9,74%"
"11 de ago. de 2022","15,09","15,77","15,83","15,01","53,35M","-2,90%"
"10 de ago. de 2022","15,54","15,65","15,73","15,45","52,12M","0,65%"
"09 de ago. de 2022","15,44","15,56","15,65","15,33","33,93M","0,65%"
"08 de ago. de 2022","15,34","14,87","15,37","14,80","41,35M","6,16%"
"05 de ago. de 2022","14,45","14,00","14,55","13,98","26,42M","2,12%"
"04 de ago. de 2022","14,15","13,85","14,20","13,62","29,48M","2,83%"
"03 de ago. de 2022","13,76","13,91","13,98","13,70","22,93M","-0,58%"
"02 de ago. de 2022","13,84","14,04","14,20","13,81","25,74M","-1,84%"
"01 de ago. de 2022","14,10","14,08","14,34","13,89","32,74M","-1,26%"
"29 de jul. de 2022","14,28","13,91","14,44","13,91","45,11M","6,65%"
"28 de jul. de 2022","13,39","13,27","13,48","12,93","36,48M","3,40%"
"27 de jul. de 2022","12,95","12,73","12,96","12,45","30,89M","2,70%"
"26 de jul. de 2022","12,61","12,67","12,79","12,41","21,03M","1,78%"
"25 de jul. de 2022","12,39","11,95","12,39","11,87","26,16M","6,44%"
"22 de jul. de 2022","11,64","11,56","11,72","11,51","21,13M","1,48%"
"21 de jul. de 2022","11,47","11,34","11,49","11,12","21,38M","-1,38%"
"20 de jul. de 2022","11,63","11,65","11,77","11,52","20,70M","-0,26%"
"19 de jul. de 2022","11,66","11,55","11,80","11,55","16,17M","1,66%"
"18 de jul. de 2022","11,47","11,44","11,66","11,43","19,37M","2,14%"
"15 de jul. de 2022","11,23","10,98","11,24","10,91","17,74M","3,03%"
"14 de jul. de 2022","10,90","10,93","11,03","10,75","26,48M","-3,88%"
"13 de jul. de 2022","11,34","11,17","11,50","11,14","22,95M","0,98%"
"12 de jul. de 2022","11,23","11,25","11,38","11,17","18,79M","-2,77%"
"11 de jul. de 2022","11,55","11,58","11,69","11,47","30,87M","-2,04%"
"08 de jul. de 2022","11,79","11,80","11,87","11,58","16,87M","1,99%"
"07 de jul. de 2022","11,56","11,46","11,65","11,46","20,21M","4,14%"
"06 de jul. de 2022","11,10","11,18","11,24","10,75","24,21M","-2,12%"
"05 de jul. de 2022","11,34","11,45","11,49","11,00","34,00M","-3,57%"
"01 de jul. de 2022","11,76","11,53","11,79","11,22","35,39M","0,68%"
"30 de jun. de 2022","11,68","11,59","11,80","11,44","29,04M","-1,27%"
"29 de jun. de 2022","11,83","12,08","12,19","11,78","26,19M","-0,50%"
"28 de jun. de 2022","11,89","12,14","12,21","11,77","27,68M","0,93%"
"27 de jun. de 2022","11,78","11,21","11,86","11,16","41,06M","7,58%"
"24 de jun. de 2022","10,95","11,26","11,34","10,92","28,03M","-1,35%"
"23 de jun. de 2022","11,10","11,60","11,65","10,99","31,11M","-3,06%"
"22 de jun. de 2022","11,45","11,27","11,76","11,18","32,92M","-0,87%"
"21 de jun. de 2022","11,55","11,73","11,85","11,50","37,48M","-0,52%"
"17 de jun. de 2022","11,61","12,09","12,13","11,23","72,53M","-3,89%"
"16 de jun. de 2022","12,08","12,41","12,45","11,85","44,58M","-5,33%"
"15 de jun. de 2022","12,76","12,86","12,94","12,45","36,82M","0,39%"
"14 de jun. de 2022","12,71","12,92","12,98","12,57","31,28M","0,95%"
"13 de jun. de 2022","12,59","12,76","12,88","12,37","50,33M","-4,69%"
"10 de jun. de 2022","13,21","13,06","13,29","12,91","34,43M","-2,22%"
"09 de jun. de 2022","13,51","13,68","13,82","13,50","24,63M","-2,03%"
"08 de jun. de 2022","13,79","13,92","14,05","13,75","20,70M","-0,79%"
"07 de jun. de 2022","13,90","13,95","14,10","13,85","26,78M","-0,86%"
"06 de jun. de 2022","14,02","14,25","14,26","13,91","18,41M","-1,13%"
"03 de jun. de 2022","14,18","13,65","14,19","13,65","28,69M","3,13%"
"02 de jun. de 2022","13,75","13,80","13,89","13,65","16,05M","-0,58%"
"01 de jun. de 2022","13,83","14,00","14,11","13,70","16,87M","-0,36%"
"31 de mai. de 2022","13,88","14,17","14,34","13,84","34,37M","-2,66%"
"27 de mai. de 2022","14,26","14,51","14,56","14,21","34,34M","-3,65%"
"26 de mai. de 2022","14,80","14,55","14,88","14,55","23,80M","1,72%"
"25 de mai. de 2022","14,55","14,25","14,63","14,24","35,19M","2,25%"
"24 de mai. de 2022","14,23","14,39","14,47","13,95","47,04M","-12,48%"
"23 de mai. de 2022","16,26","15,79","16,30","15,69","37,52M","5,45%"
"20 de mai. de 2022","15,42","15,21","15,49","15,07","25,96M","2,32%"
"19 de mai. de 2022","15,07","14,87","15,19","14,78","23,75M","2,17%"
"18 de mai. de 2022","14,75","15,06","15,14","14,61","22,71M","-2,70%"
"17 de mai. de 2022","15,16","15,11","15,22","14,94","22,95M","2,09%"
"16 de mai. de 2022","14,85","14,56","14,98","14,55","29,49M","2,34%"
"13 de mai. de 2022","14,51","14,23","14,63","14,23","38,49M","2,76%"
"12 de mai. de 2022","14,12","14,07","14,35","13,85","35,73M","0,28%"
"11 de mai. de 2022","14,08","13,79","14,44","13,78","39,07M","4,61%"
"10 de mai. de 2022","13,46","13,47","13,62","13,23","37,40M","1,66%"
"09 de mai. de 2022","13,24","13,76","13,77","13,20","42,90M","-5,97%"
"06 de mai. de 2022","14,08","13,80","14,22","13,41","37,99M","3,15%"
"05 de mai. de 2022","13,65","14,00","14,02","13,25","41,87M","-2,57%"
"04 de mai. de 2022","14,01","13,38","14,09","13,16","34,50M","5,26%"
"03 de mai. de 2022","13,31","13,09","13,39","13,04","37,91M","2,31%"
"02 de mai. de 2022","13,01","13,20","13,26","12,73","41,39M","-4,13%"
"29 de abr. de 2022","13,57","13,96","14,30","13,56","33,16M","0,44%"
"28 de abr. de 2022","13,51","13,42","13,59","13,22","16,61M","1,50%"
"27 de abr. de 2022","13,31","13,30","13,47","13,15","23,98M","0,38%"
